item,count
Subaru Impreza Sedan,13
Volkswagen Jetta SportWagen,11
Mercury Grand Marquis,2
Honda CR-V,14
GMC Terrain,36
BMW 3 Series Sedan,18
Porsche Cayenne S Hybrid,1
Maybach 57,5
Toyota Sequoia,29
Chevrolet Suburban,3
Hyundai Genesis Coupe,28
GMC Yukon,16
Audi A6 Sedan,5
Suzuki SX4 Sportback,4
Aston Martin DBS Volante,6
Chrysler 300,14
Kia Rio,8
Saab 9-5 Sedan,7
Hyundai Genesis Sedan,7
Chevrolet Suburban Three-Quarter-Ton,4
Maybach 62,5
Lamborghini Gallardo Coup,1
MINI Cooper Convertible,15
Infiniti G25,6
Honda Pilot,20
Jaguar XK Convertible,6
Mazda CX-9,18
Lincoln MKX,6
Dodge Ram 1500,109
Hyundai Accent Sedan,6
BMW M3 Convertible,2
Honda CR-Z,4
Dodge Caliber,11
Mercedes-Benz GLK-Class,4
Buick Regal,13
Hyundai Sonata,25
Lotus Exige,5
Ford Expedition,52
Dodge Nitro,18
Chevrolet Corvette Grand Sport Convertible,24
Chevrolet Colorado,115
BMW 3 Series Coup,29
Mercedes-Benz M-Class,8
Acura TL,8
Chevrolet Silverado 1500 Hybrid,12
Toyota Yaris 3-Door Liftback,7
Scion xD,6
Volkswagen GTI 4-Door,4
Nissan Versa Hatchback,6
Nissan Cube,6
Mercedes-Benz R-Class,6
Volkswagen Golf R 2-Door,1
Cadillac Escalade,24
Mitsubishi Outlander,6
Ford Mustang Convertible,24
Cadillac CTS Sport Wagon,28
Hyundai Elantra Sedan,15
Hyundai Accent Hatchback,14
Chevrolet Sonic Hatchback,8
Mazda Mazda6,23
Nissan Titan,70
Bentley Azure T,1
Toyota Yaris Sedan,4
Honda Ridgeline,6
Saab 9-3 SportCombi,13
Lamborghini Gallardo Coupe,3
Ford Fiesta Hatchback,4
BMW Z4 Roadster,5
Mercedes-Benz CL-Class,8
Mercury Milan,10
Aston Martin Rapide,5
Mitsubishi Eclipse Spyder,7
Lincoln Town Car,4
Lincoln MKS,9
Lexus IS F,2
Land Rover Range Rover Evoque,5
BMW M3 Coup,2
Audi S4 Sedan,3
Mercedes-Benz CLS-Class,3
Honda Accord Coupe,15
Subaru Impreza Hatchback,19
BMW 1 Series Convertible,10
Chrysler 200 Convertible,3
Toyota RAV4,24
Audi S5 Coupe,6
Hyundai Azera,4
Honda Fit,12
Chevrolet Aveo,5
Nissan 370Z Coupe,20
Nissan Altima Coupe,7
Saab 9-3 Convertible,14
Volkswagen Jetta,38
Chevrolet Corvette ZR1,6
Volvo XC90,18
Nissan 370Z Roadster,11
Ford Transit Connect Van,2
Cadillac STS,13
Ford E-350 Super Duty Wagon,16
Hyundai Sonata Hybrid,1
Mazda Mazda3 5-Door,13
Volkswagen Touareg Hybrid,1
Chevrolet Corvette Z06,9
Toyota Tundra,66
Chevrolet Tahoe Hybrid,4
GMC Sierra 1500 Hybrid,8
Jaguar XF,12
Volvo S60,4
Chevrolet Avalanche,12
Toyota Matrix,13
Acura MDX,3
Dodge Challenger,11
Mitsubishi Endeavor,6
Subaru Forester,23
Bentley Continental Flying Spur,5
Saab 9-4X,5
lexus IS F,1
Volkswagen Passat,6
Porsche Cayenne,12
Kia Optima,16
Dodge Durango,22
Mercedes-Benz E-Class Coupe,4
Kia Forte Koup,12
Ford Mustang Shelby GT500 Coupe,2
Mitsubishi Lancer,6
Aston Martin V8 Vantage Coup,5
Lincoln MKT,8
Mazda RX-8,10
Hyundai Santa Fe,27
Chrysler 200 Sedan,4
Lotus Evora,1
Chevrolet Corvette Convertible,24
Bentley Mulsanne,1
Ford Crown Victoria,1
Buick Lucerne,13
Bentley Continental Supersports Coupe,1
Mercedes-Benz G-Class,4
Buick Lacrosse,22
BMW 6 Series Convertible,1
MINI Clubman,15
Audi Q5,6
Porsche Boxster,5
Volkswagen Beetle,3
BMW 1 Series Coup,4
Cadillac CTS-V Coupe,4
Cadillac CTS-V Sedan,6
Bentley Continental Supersports Convertible,2
Audi A4 Avant,3
Kia Forte 5-Door,6
Volkswagen Golf 2-Door,9
BMW M6 Convertible,1
Dodge Viper Coup,1
Hyundai Veracruz,13
Chevrolet Tahoe,12
Bentley Continental GTC,3
Chevrolet Malibu,19
Volvo V50,5
Ford Ranger,38
Acura TSX Sport Wagon,2
Chevrolet Aveo5,10
Buick Enclave,20
Chevrolet Silverado 1500,116
Audi R8 Coupe,6
Jeep Wrangler,52
Mazda Mazdaspeed3,3
Infiniti G37 Sedan,10
Mazda Tribute,18
Mercedes-Benz SLK-Class,7
Chevrolet Sonic Sedan,6
Volvo XC70,15
Audi A5,2
Honda Element,11
Bentley Continental GT,3
Lexus LX,2
Infiniti G37 Convertible,8
Ford F-150,185
Ford E-350 Super Duty Van,16
GMC Acadia,28
Subaru Impreza WRX Hatchback,9
Audi A4 Sedan,9
Toyota Corolla,13
Chevrolet Camaro Coupe,31
Mercedes-Benz E-Class Sedan,11
Audi R8 Spyder,4
Aston Martin Virage Volante,2
Cadillac CTS Sport Sedan,36
Chevrolet Camaro Convertible,16
Kia Optima Hybrid,1
Mitsubishi Eclipse Coupe,14
MINI Cooper Coupe,5
BMW M3 Sedan,2
Jeep Compass,12
Mercury Mariner,16
Volkswagen GTI 2-Door,4
Hyundai Equus,4
Lexus LS,12
Jeep Grand Cherokee,48
MINI Countryman,12
Kia Soul,17
Cadillac Escalade EXT,6
Toyota Avalon,5
Mazda MX-5 Miata,28
Suzuki SX4 Crossover,2
Acura ZDX,3
Land Rover LR4,7
Lamborghini Gallardo Spyder,1
GMC Savana,41
Jaguar XK Coup,8
BMW 3 Series Sports Wagon,12
Volvo XC60,21
Ford Flex,26
Hyundai Veloster,1
Acura RDX,4
Chevrolet Corvette Coupe,24
Volkswagen Tiguan,15
Cadillac Escalade Hybrid,10
Dodge Dakota,28
Chevrolet Equinox,43
Ford Mustang Coup,25
BMW M6 Coup,1
BMW 1 Series Coupe,7
Honda Civic Coupe,8
Dodge Journey,19
Ford Focus Coupe,4
Chrysler Sebring Convertible,3
GMC Sierra 1500,124
BMW 5 Series Sedan,29
Mitsubishi Lancer Evolution,2
Lexus LFA,1
Ford Focus Sedan,17
Scion xB,10
Mercedes-Benz E-Class Cabriolet,2
Ford Fiesta Sedan,6
Hyundai Tucson,29
BMW 5 Series Gran Turismo,7
Toyota Highlander,25
Nissan JUKE,2
Volvo S80,6
Scion tC,10
Nissan Sentra,9
GMC Canyon,78
BMW ALPINA B7 Sedan,4
Volkswagen CC,10
Lexus RX,2
Dodge Avenger,11
Dodge Grand Caravan,15
Chrysler Town and Country,9
Ford Escape,32
Chevrolet HHR Wagon,14
Chevrolet Traverse,24
Nissan Xterra,23
